!the partial phases we use,they should be named as the followed rules
!the first number is angular momentum J(from small to large!),the second(1~5) is 0 J J,3 J J,3 J-1 J,3 J+1 J,E_J (SLJ)(-1 means end)
0 1
0 3
1 1
1 2
1 3
1 4
1 5
2 3
2 4
2 5
-1 0
!the data ,the first column is Tlab 
1.	62.16	0.19	-0.2	-0.1	-32.17	0	-0.12	0.03	0	0	0	0.01
5.	63.71	1.7	-1.6	-0.9	-61.77	-0.15	-0.74	0.29	0	-0.05	0.04	0.23
10.	60	3.78	-3.28	-1.99	-77.45	-0.58	-1.18	0.79	0.01	-0.18	0.15	0.88
25.	51.3	8.36	-1.6	-4.69	80.26	-2.7	1.69	2.69	0.09	-0.71	0.65	3.85
50.	41.94	11.11	-10.04	-8.06	62.1	-6.78	2.09	5.93	0.3	-1.5	1.59	9.3
100.	28.47	8.85	-14.64	-13.46	42.24	-13.01	2.72	10.96	0.74	-2.43	3.61	17.81
150.	17.31	3.76	-18.5	-17.92	29.76	-16.66	3.22	14.18	1.02	-2.78	5.59	22.72
200.	8.09	-1.61	-21.75	-21.68	20.64	-19.09	3.66	16.13	1.11	-2.81	7.31	25.12
250.	0.71	-6.8	-24.42	-24.98	13.4	-21.11	4.12	17.27	1.02	-2.62	8.66	25.91
300.	-5.28	-11.76	-26.64	-28.06	7.28	-23	4.63	17.92	0.77	-2.3	9.72	25.7
350.	-10.35	-16.45	-28.56	-31.05	1.84	-24.79	5.19	18.25	0.4	-1.88	10.8	24.86
400.	-14.94	-20.93	-30.28	-34.01	-3.18	-26.39	5.79	18.34	-0.08	-1.4	11.83	23.61
450.	-19.27	-25.15	-31.91	-36.93	-7.91	-27.72	6.41	18.36	-0.64	-0.88	12.84	22.12
500.	-23.49	-29.04	-33.48	-39.74	-12.41	-28.73	7.02	18.53	-1.27	-0.31	13.59	20.49
